                                       1                                        2                                        3                                        4                                        5                                        6                                        7                                        8 
                          version_number                                 compiler                                    build                         MESA_SDK_version                             math_backend                                     date                                burn_min1                                burn_min2 
                                 "15140"                               "gfortran"                                 "10.2.0"                                       ""                                 "CRMATH"                               "20230324"                  5.0000000000000000E+001                  1.0000000000000000E+003 

                                       1                                        2                                        3                                        4                                        5                                        6                                        7                                        8                                        9                                       10                                       11                                       12                                       13                                       14                                       15                                       16                                       17                                       18                                       19                                       20                                       21                                       22                                       23                                       24                                       25                                       26                                       27                                       28                                       29                                       30                                       31                                       32                                       33                                       34                                       35                                       36                                       37                                       38                                       39                                       40                                       41                                       42                                       43                                       44                                       45                                       46                                       47                                       48                                       49                                       50                                       51                                       52                                       53                                       54                                       55                                       56                                       57                                       58                                       59 
                            model_number                                num_zones                                 star_age                                   log_dt                                star_mass                               log_xmstar                             log_abs_mdot                           mass_conv_core                                  log_LHe                                       pp                                      cno                             he_core_mass                              c_core_mass                              o_core_mass                        dynamic_timescale                             kh_timescale                              effective_T                                 log_Teff                               luminosity                        luminosity_ergs_s                                    log_L                                   radius                                    log_g                             log_center_T                           log_center_Rho                             log_center_P                               log_cntr_P                             log_cntr_Rho                               log_cntr_T                                 center_T                               center_Rho                                 center_P                                center_mu                                center_ye                              center_abar                                center_h1                               center_he4                               center_c12                               center_o16                            total_mass_h1                           total_mass_he4                             total_energy               total_gravitational_energy                    total_internal_energy                              num_retries                                num_iters                               Egrav_conv                               Ebind_conv                                Etot_conv                                 Ehe_conv                              Egrav_inter                              Ebind_inter                               Etot_inter                                Ehe_inter                              R_conv_base                                   R_core                               M_conv_env                                  M_inter                              mom_inertia 
                                       1                                      418                  1.0000000000000001E-005                 -4.9999999999999991E+000                  2.3000000000000004E+001                  3.4660233746378260E+001                 -9.8999999999999986E+001                  0.0000000000000000E+000                 -9.8999999999999986E+001                 -2.0759054118155390E+001                 -9.8999999999999986E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  1.7436845282442462E+007                  5.0408803323466208E+002                  4.4521700186824337E+003                  3.6485717407403264E+000                  6.0017837337024881E+004                  2.2974828132613127E+038                  4.7782803421465125E+000                  4.1176539973957142E+002                  5.7049576240652478E-001                  5.5267764320200179E+000                 -5.4760579169151544E+000                  8.2786256398178626E+000                  8.2786256398178626E+000                 -5.4760579169151544E+000                  5.5267764320200179E+000                  3.3633838308410445E+005                  3.3415047520655667E-006                  1.8994402638012454E+008                  5.9239112764251545E-001                  8.8000425680503580E-001                  1.2195090297486715E+000                  7.6000000000000001E-001                  2.3997445916978469E-001                  1.0021277883930357E-099                  1.0021277883930548E-099                  1.7480000000000008E+001                  5.5194125609050477E+000                 -1.1427901739252707E+048                 -4.2739223705274234E+048                  3.1311321966021527E+048                                        0                                        4                 -4.2253278522001864E+048                 -1.8507753795204523E+048                 -1.1244206300622520E+048                 -1.6469504737723367E+048                 -7.0877343193674526E+044                  2.5275021883956303E+046                  2.9516355130592729E+046                  2.6482496330885957E+046                  2.4644481329381025E+012                  5.0348934945793030E+010                  4.5469418439975313E+034                  2.6400501309189958E+032                 -9.9999999999999997E+098 
                                       2                                      434                  2.1999999999999999E-005                 -4.9208187539523749E+000                  2.3000000000000004E+001                  3.4660233746378260E+001                 -9.8999999999999986E+001                  0.0000000000000000E+000                 -9.8999999999999986E+001                 -2.0759053753093898E+001                 -9.8999999999999986E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  1.7436847072970416E+007                  5.0408610845575737E+002                  4.4521740400769841E+003                  3.6485721330139067E+000                  6.0018062397643058E+004                  2.2974914285817763E+038                  4.7782819707023823E+000                  4.1176542792805901E+002                  5.7049570294497598E-001                  5.5267764512016937E+000                 -5.4760578577658734E+000                  8.2786257178759666E+000                  8.2786257178759666E+000                 -5.4760578577658734E+000                  5.5267764512016937E+000                  3.3633839793930994E+005                  3.3415052071660223E-006                  1.8994406051979822E+008                  5.9239112764249269E-001                  8.8000425680503580E-001                  1.2195090297486715E+000                  7.6000000000000001E-001                  2.3997445916978469E-001                  1.0021277883930357E-099                  1.0021277883930548E-099                  1.7480000000000008E+001                  5.5194125609050477E+000                 -1.1427902609728055E+048                 -4.2739225585612735E+048                  3.1311322975884680E+048                                        0                                        3                 -4.2253273111668389E+048                 -1.8507747382226033E+048                 -1.1244199891706203E+048                 -1.6469498321645306E+048                 -7.0877346404649167E+044                  2.5275022980104952E+046                  2.9516356226424993E+046                  2.6482497427034571E+046                  2.4644480213309951E+012                  5.0348932660014389E+010                  4.5469418439975313E+034                  2.6400501309189958E+032                 -9.9999999999999997E+098 
                                       3                                      418                  3.6400000000000004E-005                 -4.8416375079047498E+000                  2.3000000000000004E+001                  3.4660233746378260E+001                 -9.8999999999999986E+001                  0.0000000000000000E+000                 -9.8999999999999986E+001                 -2.0759053332807600E+001                 -9.8999999999999986E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  1.7436849508978982E+007                  5.0408185239918743E+002                  4.4521831266846884E+003                  3.6485730193807746E+000                  6.0018563551360508E+004                  2.2975106127460803E+038                  4.7782855970671250E+000                  4.1176546627842060E+002                  5.7049562204770532E-001                  5.5267764732772102E+000                 -5.4760577888368980E+000                  8.2786258084208146E+000                  8.2786258084208146E+000                 -5.4760577888368980E+000                  5.5267764732772102E+000                  3.3633841503564559E+005                  3.3415057375125003E-006                  1.8994410012071121E+008                  5.9239112764246749E-001                  8.8000425680503580E-001                  1.2195090297486715E+000                  7.6000000000000001E-001                  2.3997445916978469E-001                  1.0021277883930357E-099                  1.0021277883930548E-099                  1.7480000000000008E+001                  5.5194125609050477E+000                 -1.1427903654379137E+048                 -4.2739227750255425E+048                  3.1311324095876288E+048                                        0                                        3                 -4.2253275245287617E+048                 -1.8507748405002234E+048                 -1.1244200918168750E+048                 -1.6469499344947958E+048                 -7.0877350145902670E+044                  2.5275024226337176E+046                  2.9516357472284695E+046                  2.6482498673266795E+046                  2.4644478912943999E+012                  5.0348929996306976E+010                  4.5469418439975313E+034                  2.6400501309189958E+032                 -9.9999999999999997E+098 
                                       4                                      434                  5.3680000000000008E-005                 -4.7624562618571247E+000                  2.3000000000000004E+001                  3.4660233746378260E+001                 -9.8999999999999986E+001                  0.0000000000000000E+000                 -9.8999999999999986E+001                 -2.0759052795416007E+001                 -9.8999999999999986E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  1.7436849440828722E+007                  5.0408034972967619E+002                  4.4521864533841544E+003                  3.6485733438882444E+000                  6.0018742623796512E+004                  2.2975174676389306E+038                  4.7782868928338047E+000                  4.1176546520552330E+002                  5.7049562431090328E-001                  5.5267765015185759E+000                 -5.4760577023138071E+000                  8.2786259228792982E+000                  8.2786259228792982E+000                 -5.4760577023138071E+000                  5.5267765015185759E+000                  3.3633843690710998E+005                  3.3415064032299920E-006                  1.8994415018056089E+008                  5.9239112764243318E-001                  8.8000425680503580E-001                  1.2195090297486715E+000                  7.6000000000000001E-001                  2.3997445916978469E-001                  1.0021277883930357E-099                  1.0021277883930548E-099                  1.7480000000000008E+001                  5.5194125609050477E+000                 -1.1427904907229841E+048                 -4.2739230533473950E+048                  3.1311325626244109E+048                                        0                                        2                 -4.2253278000857707E+048                 -1.8507749649013706E+048                 -1.1244202160074725E+048                 -1.6469500584802093E+048                 -7.0877354843299235E+044                  2.5275025850284231E+046                  2.9516359095771314E+046                  2.6482500297213835E+046                  2.4644477280195425E+012                  5.0348926652688881E+010                  4.5469418439975313E+034                  2.6400501309189958E+032                 -9.9999999999999997E+098 
                                       5                                      418                  7.4416000000000014E-005                 -4.6832750158095005E+000                  2.3000000000000004E+001                  3.4660233746378260E+001                 -9.8999999999999986E+001                  0.0000000000000000E+000                 -9.8999999999999986E+001                 -2.0759052160054097E+001                 -9.8999999999999986E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  1.7436850028172679E+007                  5.0407752225023984E+002                  4.4521926217053351E+003                  3.6485739455849666E+000                  6.0019077934065201E+004                  2.2975303033160160E+038                  4.7782893191257640E+000                  4.1176547445214618E+002                  5.7049560480583261E-001                  5.5267765349042763E+000                 -5.4760575995823135E+000                  8.2786260585586380E+000                  8.2786260585586380E+000                 -5.4760575995823135E+000                  5.5267765349042763E+000                  3.3633846276259556E+005                  3.3415071936567625E-006                  1.8994420952163520E+008                  5.9239112764239332E-001                  8.8000425680503580E-001                  1.2195090297486715E+000                  7.6000000000000001E-001                  2.3997445916978469E-001                  1.0021277883930357E-099                  1.0021277883930548E-099                  1.7480000000000008E+001                  5.5194125609050477E+000                 -1.1427906410824349E+048                 -4.2739233819892645E+048                  3.1311327409068296E+048                                        0                                        2                 -4.2253281243886169E+048                 -1.8507751129563256E+048                 -1.1244203639948717E+048                 -1.6469502061606715E+048                 -7.0877360420335625E+044                  2.5275027762059336E+046                  2.9516361006997506E+046                  2.6482502208988915E+046                  2.4644475341701079E+012                  5.0348922682709427E+010                  4.5469418439975313E+034                  2.6400501309189958E+032                 -9.9999999999999997E+098 
                                       6                                      434                  9.9299200000000013E-005                 -4.6040937697618753E+000                  2.3000000000000004E+001                  3.4660233746378260E+001                 -9.8999999999999986E+001                  0.0000000000000000E+000                 -9.8999999999999986E+001                 -2.0759051378823905E+001                 -9.8999999999999986E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  1.7436849104962364E+007                  5.0407616829846592E+002                  4.4521957292195330E+003                  3.6485742487110691E+000                  6.0019241264204429E+004                  2.2975365555937456E+038                  4.7782905009713392E+000                  4.1176545991794092E+002                  5.7049563546466953E-001                  5.5267765759626490E+000                 -5.4760574741389725E+000                  8.2786262246745803E+000                  8.2786262246745803E+000                 -5.4760574741389725E+000                  5.5267765759626490E+000                  3.3633849456016941E+005                  3.3415081588310971E-006                  1.8994428217456657E+008                  5.9239112764234325E-001                  8.8000425680503580E-001                  1.2195090297486715E+000                  7.6000000000000001E-001                  2.3997445916978469E-001                  1.0021277883930357E-099                  1.0021277883930548E-099                  1.7480000000000008E+001                  5.5194125609050477E+000                 -1.1427908214743164E+048                 -4.2739237869245562E+048                  3.1311329654502398E+048                                        0                                        2                 -4.2253285251152501E+048                 -1.8507752920385420E+048                 -1.1244205426127731E+048                 -1.6469503845311286E+048                 -7.0877367230995625E+044                  2.5275030129254733E+046                  2.9516363373526525E+046                  2.6482504576184282E+046                  2.4644472974382505E+012                  5.0348917835048615E+010                  4.5469418439975313E+034                  2.6400501309189958E+032                 -9.9999999999999997E+098 
                                       7                                      418                  1.2915904000000000E-004                 -4.5249125237142502E+000                  2.3000000000000004E+001                  3.4660233746378260E+001                 -9.8999999999999986E+001                  0.0000000000000000E+000                 -9.8999999999999986E+001                 -2.0759050439291322E+001                 -9.8999999999999986E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  1.7436847539518137E+007                  5.0407478380628606E+002                  4.4521989861720322E+003                  3.6485745664140783E+000                  6.0019409705376551E+004                  2.2975430035218145E+038                  4.7782917197966253E+000                  4.1176543527297332E+002                  5.7049568745141821E-001                  5.5267766253412676E+000                 -5.4760573233707897E+000                  8.2786264243736873E+000                  8.2786264243736873E+000                 -5.4760573233707897E+000                  5.5267766253412676E+000                  3.3633853280134359E+005                  3.3415093188578100E-006                  1.8994436951556221E+008                  5.9239112764228241E-001                  8.8000425680503580E-001                  1.2195090297486715E+000                  7.6000000000000001E-001                  2.3997445916978469E-001                  1.0021277883930357E-099                  1.0021277883930548E-099                  1.7480000000000008E+001                  5.5194125609050477E+000                 -1.1427910379340213E+048                 -4.2739242739994367E+048                  3.1311332360654154E+048                                        0                                        3                 -4.2253290060821216E+048                 -1.8507755059274330E+048                 -1.1244207558940382E+048                 -1.6469505975361424E+048                 -7.0877375416682553E+044                  2.5275032977881736E+046                  2.9516366221353173E+046                  2.6482507424811254E+046                  2.4644470129101396E+012                  5.0348912008729836E+010                  4.5469418439975313E+034                  2.6400501309189958E+032                 -9.9999999999999997E+098 
                                       8                                      434                  1.6499084799999998E-004                 -4.4457312776666260E+000                  2.3000000000000004E+001                  3.4660233746378260E+001                 -9.8999999999999986E+001                  0.0000000000000000E+000                 -9.8999999999999986E+001                 -2.0759049305644634E+001                 -9.8999999999999986E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  1.7436845256257366E+007                  5.0407378221496339E+002                  4.4522014892888265E+003                  3.6485748105831974E+000                  6.0019534203041556E+004                  2.2975477692924309E+038                  4.7782926206484184E+000                  4.1176539932733647E+002                  5.7049576327610430E-001                  5.5267766849240036E+000                 -5.4760571417346426E+000                  8.2786266651014024E+000                  8.2786266651014024E+000                 -5.4760571417346426E+000                  5.5267766849240036E+000                  3.3633857894508302E+005                  3.3415107163865134E-006                  1.8994447480100462E+008                  5.9239112764220914E-001                  8.8000425680503580E-001                  1.2195090297486715E+000                  7.6000000000000001E-001                  2.3997445916978469E-001                  1.0021277883930357E-099                  1.0021277883930548E-099                  1.7480000000000008E+001                  5.5194125609050477E+000                 -1.1427912976763384E+048                 -4.2739248619846018E+048                  3.1311335643082634E+048                                        0                                        2                 -4.2253295877718558E+048                 -1.8507757637775015E+048                 -1.1244210128812653E+048                 -1.6469508542402706E+048                 -7.0877385278505267E+044                  2.5275036420364366E+046                  2.9516369662872673E+046                  2.6482510867293859E+046                  2.4644466701182729E+012                  5.0348904989543518E+010                  4.5469418439975313E+034                  2.6400501309189958E+032                 -9.9999999999999997E+098 
                                       9                                      418                  2.0798901759999997E-004                 -4.3665500316190009E+000                  2.3000000000000004E+001                  3.4660233746378260E+001                 -9.8999999999999986E+001                  0.0000000000000000E+000                 -9.8999999999999986E+001                 -2.0759047933737317E+001                 -9.8999999999999986E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  1.7436841145153970E+007                  5.0407385638000795E+002                  4.4522018503744566E+003                  3.6485748458056579E+000                  6.0019534806202195E+004                  2.2975477923814203E+038                  4.7782926250128197E+000                  4.1176533460575888E+002                  5.7049589980154458E-001                  5.5267767570335833E+000                 -5.4760569224437257E+000                  8.2786269559981136E+000                  8.2786269559981136E+000                 -5.4760569224437257E+000                  5.5267767570335833E+000                  3.3633863479022181E+005                  3.3415124036359844E-006                  1.8994460202859730E+008                  5.9239112764211976E-001                  8.8000425680503580E-001                  1.2195090297486715E+000                  7.6000000000000001E-001                  2.3997445916978469E-001                  1.0021277883930357E-099                  1.0021277883930548E-099                  1.7480000000000008E+001                  5.5194125609050477E+000                 -1.1427916093335714E+048                 -4.2739255740424197E+048                  3.1311339647088483E+048                                        0                                        2                 -4.2253302911885885E+048                 -1.8507760723654916E+048                 -1.1244213201909880E+048                 -1.6469511612961184E+048                 -7.0877397185167409E+044                  2.5275040596168169E+046                  2.9516373837515612E+046                  2.6482515043097611E+046                  2.4644462562450581E+012                  5.0348896515219383E+010                  4.5469418439975313E+034                  2.6400501309189958E+032                 -9.9999999999999997E+098 
