                                       1                                        2                                        3                                        4                                        5                                        6                                        7                                        8 
                          version_number                                 compiler                                    build                         MESA_SDK_version                             math_backend                                     date                                burn_min1                                burn_min2 
                                 "15140"                               "gfortran"                                 "10.2.0"                                       ""                                 "CRMATH"                               "20230324"                  5.0000000000000000E+001                  1.0000000000000000E+003 

                                       1                                        2                                        3                                        4                                        5                                        6                                        7                                        8                                        9                                       10                                       11                                       12                                       13                                       14                                       15                                       16                                       17                                       18                                       19                                       20                                       21                                       22                                       23                                       24                                       25                                       26                                       27                                       28                                       29                                       30                                       31                                       32                                       33                                       34                                       35                                       36                                       37                                       38                                       39                                       40                                       41                                       42                                       43                                       44                                       45                                       46                                       47                                       48                                       49                                       50                                       51                                       52                                       53                                       54                                       55                                       56                                       57                                       58                                       59 
                            model_number                                num_zones                                 star_age                                   log_dt                                star_mass                               log_xmstar                             log_abs_mdot                           mass_conv_core                                  log_LHe                                       pp                                      cno                             he_core_mass                              c_core_mass                              o_core_mass                        dynamic_timescale                             kh_timescale                              effective_T                                 log_Teff                               luminosity                        luminosity_ergs_s                                    log_L                                   radius                                    log_g                             log_center_T                           log_center_Rho                             log_center_P                               log_cntr_P                             log_cntr_Rho                               log_cntr_T                                 center_T                               center_Rho                                 center_P                                center_mu                                center_ye                              center_abar                                center_h1                               center_he4                               center_c12                               center_o16                            total_mass_h1                           total_mass_he4                             total_energy               total_gravitational_energy                    total_internal_energy                              num_retries                                num_iters                               Egrav_conv                               Ebind_conv                                Etot_conv                                 Ehe_conv                              Egrav_inter                              Ebind_inter                               Etot_inter                                Ehe_inter                              R_conv_base                                   R_core                               M_conv_env                                  M_inter                              mom_inertia 
                                       1                                      560                  1.0000000000000001E-005                 -4.9999999999999991E+000                  5.0000000000000000E+000                  3.3997475914696686E+001                 -9.8999999999999986E+001                  0.0000000000000000E+000                 -9.8999999999999986E+001                 -1.2603660463849053E+001                 -3.9848083020548323E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  9.7449931599749310E+005                  2.6103485028726249E+004                  4.7937727702940756E+003                  3.6806774441852763E+000                  6.2318372221720267E+002                  2.3855472886474521E+036                  2.7946161008847055E+000                  3.6191478299904617E+001                  2.0198249857665571E+000                  6.0120500723796519E+000                 -3.0060015592943103E+000                  1.1156146920669890E+001                  1.1156146920669890E+001                 -3.0060015592943103E+000                  6.0120500723796519E+000                  1.0281348310392052E+006                  9.8627594449197595E-004                  1.4326724865991437E+011                  5.9941488154048295E-001                  8.7250443417191237E-001                  1.2379191874988187E+000                  7.4500000000000011E-001                  2.4997339496852569E-001                  8.6172084019653860E-004                  2.3451319112873857E-003                  3.7249999999999996E+000                  1.2498669748426294E+000                 -9.8370751804348669E+047                 -2.3100946375167657E+048                  1.3263871194732790E+048                                        0                                        2                 -2.2850637959229912E+048                 -1.1212153264237159E+048                 -9.6275724401560755E+047                 -1.0742920606682897E+048                 -4.5443485397147888E+043                  3.7570934301022219E+045                  4.0349396456915084E+045                  3.8391271213353976E+045                  1.4652420600791779E+011                  4.5478178493739777E+009                  9.9248306808627796E+033                  1.7217895439238556E+031                 -9.9999999999999997E+098 
                                       2                                      545                  2.1999999999999999E-005                 -4.9208187539523749E+000                  5.0000000000000000E+000                  3.3997475914696686E+001                 -9.8999999999999986E+001                  0.0000000000000000E+000                 -9.8999999999999986E+001                 -1.2603660459088267E+001                 -3.9848083004217671E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  9.7449931312754704E+005                  2.6103391225272859E+004                  4.7937770839949371E+003                  3.6806778349872036E+000                  6.2318596287334242E+002                  2.3855558658791549E+036                  2.7946176623870578E+000                  3.6191478228847551E+001                  2.0198249874719139E+000                  6.0120500729337953E+000                 -3.0060015584945705E+000                  1.1156146922041525E+001                  1.1156146922041525E+001                 -3.0060015584945705E+000                  6.0120500729337953E+000                  1.0281348323510666E+006                  9.8627594630817288E-004                  1.4326724911239612E+011                  5.9941488154023759E-001                  8.7250443417191248E-001                  1.2379191874988189E+000                  7.4500000000000011E-001                  2.4997339496852566E-001                  8.6172084019653849E-004                  2.3451319112873857E-003                  3.7249999999999992E+000                  1.2498669748426292E+000                 -9.8370751894666612E+047                 -2.3100946393394030E+048                  1.3263871203927369E+048                                        0                                        2                 -2.2850637977249444E+048                 -1.1212153273090290E+048                 -9.6275724490108449E+047                 -1.0742920615532083E+048                 -4.5443485433143124E+043                  3.7570934330458923E+045                  4.0349396486360244E+045                  3.8391271242790858E+045                  1.4652420589194827E+011                  4.5478178444294224E+009                  9.9248306808627773E+033                  1.7217895439238211E+031                 -9.9999999999999997E+098 
                                       3                                      560                  3.6400000000000004E-005                 -4.8416375079047498E+000                  5.0000000000000000E+000                  3.3997475914696686E+001                 -9.8999999999999986E+001                  0.0000000000000000E+000                 -9.8999999999999986E+001                 -1.2603660453368573E+001                 -3.9848082984597276E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  9.7449932326012850E+005                  2.6103335475285894E+004                  4.7937796186383011E+003                  3.6806780646143467E+000                  6.2318728951788432E+002                  2.3855609442744614E+036                  2.7946185869165321E+000                  3.6191478479720381E+001                  2.0198249814510110E+000                  6.0120500735560434E+000                 -3.0060015574876493E+000                  1.1156146923688405E+001                  1.1156146923688405E+001                 -3.0060015574876493E+000                  6.0120500735560434E+000                  1.0281348338241550E+006                  9.8627594859487474E-004                  1.4326724965567719E+011                  5.9941488153996747E-001                  8.7250443417191248E-001                  1.2379191874988187E+000                  7.4500000000000011E-001                  2.4997339496852569E-001                  8.6172084019653860E-004                  2.3451319112873857E-003                  3.7249999999999996E+000                  1.2498669748426299E+000                 -9.8370752003050146E+047                 -2.3100946415290092E+048                  1.3263871214985077E+048                                        0                                        2                 -2.2850637998917262E+048                 -1.1212153283734948E+048                 -9.6275724596567832E+047                 -1.0742920626171685E+048                 -4.5443485476274520E+043                  3.7570934365830102E+045                  4.0349396521741817E+045                  3.8391271278162246E+045                  1.4652420575269470E+011                  4.5478178387617073E+009                  9.9248306808627830E+033                  1.7217895439238655E+031                 -9.9999999999999997E+098 
                                       4                                      545                  5.3680000000000008E-005                 -4.7624562618571247E+000                  5.0000000000000000E+000                  3.3997475914696686E+001                 -9.8999999999999986E+001                  0.0000000000000000E+000                 -9.8999999999999986E+001                 -1.2603660446495631E+001                 -3.9848082961019898E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  9.7449930904169672E+005                  2.6103372204514922E+004                  4.7937779673153100E+003                  3.6806779150120197E+000                  6.2318641871250315E+002                  2.3855576108314623E+036                  2.7946179800584616E+000                  3.6191478127685883E+001                  2.0198249898997758E+000                  6.0120500742605572E+000                 -3.0060015562312352E+000                  1.1156146925667013E+001                  1.1156146925667013E+001                 -3.0060015562312352E+000                  6.0120500742605572E+000                  1.0281348354920001E+006                  9.8627595144817155E-004                  1.4326725030839056E+011                  5.9941488153966771E-001                  8.7250443417191237E-001                  1.2379191874988187E+000                  7.4500000000000011E-001                  2.4997339496852569E-001                  8.6172084019653860E-004                  2.3451319112873857E-003                  3.7249999999999996E+000                  1.2498669748426292E+000                 -9.8370752133114959E+047                 -2.3100946441600580E+048                  1.3263871228289084E+048                                        0                                        2                 -2.2850638024933739E+048                 -1.1212153296490174E+048                 -9.6275724724122559E+047                 -1.0742920638920237E+048                 -4.5443485528182514E+043                  3.7570934408339288E+045                  4.0349396564263566E+045                  3.8391271320671704E+045                  1.4652420558546161E+011                  4.5478178322230930E+009                  9.9248306808627796E+033                  1.7217895439238144E+031                 -9.9999999999999997E+098 
                                       5                                      560                  7.4416000000000014E-005                 -4.6832750158095005E+000                  5.0000000000000000E+000                  3.3997475914696686E+001                 -9.8999999999999986E+001                  0.0000000000000000E+000                 -9.8999999999999986E+001                 -1.2603660438255147E+001                 -3.9848082932751957E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  9.7449931695165625E+005                  2.6103332358316926E+004                  4.7937797772596177E+003                  3.6806780789847116E+000                  6.2318736662145420E+002                  2.3855612394269269E+036                  2.7946186406494200E+000                  3.6191478323528763E+001                  2.0198249851995818E+000                  6.0120500750622021E+000                 -3.0060015546779817E+000                  1.1156146928039503E+001                  1.1156146928039503E+001                 -3.0060015546779817E+000                  6.0120500750622021E+000                  1.0281348373897880E+006                  9.8627595497558559E-004                  1.4326725109103931E+011                  5.9941488153933320E-001                  8.7250443417191248E-001                  1.2379191874988187E+000                  7.4500000000000011E-001                  2.4997339496852572E-001                  8.6172084019653849E-004                  2.3451319112873857E-003                  3.7249999999999992E+000                  1.2498669748426294E+000                 -9.8370752289196052E+047                 -2.3100946473146340E+048                  1.3263871244226735E+048                                        0                                        2                 -2.2850638056146800E+048                 -1.1212153311815829E+048                 -9.6275724877392866E+047                 -1.0742920654238374E+048                 -4.5443485590347396E+043                  3.7570934459302759E+045                  4.0349396615241919E+045                  3.8391271371635486E+045                  1.4652420538488000E+011                  4.5478178246483564E+009                  9.9248306808627842E+033                  1.7217895439238515E+031                 -9.9999999999999997E+098 
                                       6                                      545                  9.9299200000000013E-005                 -4.6040937697618753E+000                  5.0000000000000000E+000                  3.3997475914696686E+001                 -9.8999999999999986E+001                  0.0000000000000000E+000                 -9.8999999999999986E+001                 -1.2603660428355605E+001                 -3.9848082898791858E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  9.7449929960419587E+005                  2.6103405825169219E+004                  4.7937764469550802E+003                  3.6806777772742754E+000                  6.2318562008458434E+002                  2.3855545536837889E+036                  2.7946174234996053E+000                  3.6191477894022576E+001                  2.0198249955076530E+000                  6.0120500759820681E+000                 -3.0060015527658299E+000                  1.1156146930889053E+001                  1.1156146930889053E+001                 -3.0060015527658299E+000                  6.0120500759820681E+000                  1.0281348395674488E+006                  9.8627595931805251E-004                  1.4326725203106290E+011                  5.9941488153895583E-001                  8.7250443417191237E-001                  1.2379191874988185E+000                  7.4500000000000011E-001                  2.4997339496852566E-001                  8.6172084019653860E-004                  2.3451319112873857E-003                  3.7249999999999992E+000                  1.2498669748426292E+000                 -9.8370752476498831E+047                 -2.3100946511042725E+048                  1.3263871263392842E+048                                        0                                        2                 -2.2850638093623725E+048                 -1.1212153330188497E+048                 -9.6275725061120944E+047                 -1.0742920672601325E+048                 -4.5443485665076499E+043                  3.7570934520533997E+045                  4.0349396676491348E+045                  3.8391271432867111E+045                  1.4652420514403058E+011                  4.5478178158208628E+009                  9.9248306808627819E+033                  1.7217895439238076E+031                 -9.9999999999999997E+098 
                                       7                                      560                  1.2915904000000000E-004                 -4.5249125237142502E+000                  5.0000000000000000E+000                  3.3997475914696686E+001                 -9.8999999999999986E+001                  0.0000000000000000E+000                 -9.8999999999999986E+001                 -1.2603660416489527E+001                 -3.9848082858086698E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  9.7449930829894263E+005                  2.6103343549011526E+004                  4.7937792847597138E+003                  3.6806780343664744E+000                  6.2318710314537441E+002                  2.3855602308404935E+036                  2.7946184570349279E+000                  3.6191478109296021E+001                  2.0198249903411289E+000                  6.0120500770416578E+000                 -3.0060015504264408E+000                  1.1156146934305438E+001                  1.1156146934305438E+001                 -3.0060015504264408E+000                  6.0120500770416578E+000                  1.0281348420758880E+006                  9.8627596463076827E-004                  1.4326725315807733E+011                  5.9941488153852818E-001                  8.7250443417191237E-001                  1.2379191874988187E+000                  7.4500000000000011E-001                  2.4997339496852569E-001                  8.6172084019653860E-004                  2.3451319112873857E-003                  3.7249999999999996E+000                  1.2498669748426299E+000                 -9.8370752701267813E+047                 -2.3100946556468027E+048                  1.3263871286341246E+048                                        0                                        2                 -2.2850638138565910E+048                 -1.1212153352254560E+048                 -9.6275725281801771E+047                 -1.0742920694656591E+048                 -4.5443485754601945E+043                  3.7570934593919799E+045                  4.0349396749898421E+045                  3.8391271506253331E+045                  1.4652420485519556E+011                  4.5478178055020370E+009                  9.9248306808627876E+033                  1.7217895439238520E+031                 -9.9999999999999997E+098 
                                       8                                      545                  1.6499084799999998E-004                 -4.4457312776666260E+000                  5.0000000000000000E+000                  3.3997475914696686E+001                 -9.8999999999999986E+001                  0.0000000000000000E+000                 -9.8999999999999986E+001                 -1.2603660402234654E+001                 -3.9848082809185826E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  9.7449928917108569E+005                  2.6103433477468370E+004                  4.7937752030613083E+003                  3.6806776645831065E+000                  6.2318496436973544E+002                  2.3855520436073475E+036                  2.7946169665354499E+000                  3.6191477635708942E+001                  2.0198250017071340E+000                  6.0120500782714110E+000                 -3.0060015475703161E+000                  1.1156146938408638E+001                  1.1156146938408638E+001                 -3.0060015475703161E+000                  6.0120500782714110E+000                  1.0281348449871654E+006                  9.8627597111698262E-004                  1.4326725451166147E+011                  5.9941488153803957E-001                  8.7250443417191248E-001                  1.2379191874988189E+000                  7.4500000000000011E-001                  2.4997339496852569E-001                  8.6172084019653849E-004                  2.3451319112873857E-003                  3.7249999999999992E+000                  1.2498669748426292E+000                 -9.8370752970993583E+047                 -2.3100946611036409E+048                  1.3263871313937051E+048                                        0                                        2                 -2.2850638192534274E+048                 -1.1212153378715988E+048                 -9.6275725546420300E+047                 -1.0742920721104107E+048                 -4.5443485862198712E+043                  3.7570934682089576E+045                  4.0349396838093925E+045                  3.8391271594423672E+045                  1.4652420450838071E+011                  4.5478177933795309E+009                  9.9248306808627853E+033                  1.7217895439237961E+031                 -9.9999999999999997E+098 
                                       9                                      560                  2.0798901759999997E-004                 -4.3665500316190009E+000                  5.0000000000000000E+000                  3.3997475914696686E+001                 -9.8999999999999986E+001                  0.0000000000000000E+000                 -9.8999999999999986E+001                 -1.2603660385146449E+001                 -3.9848082750566761E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  9.7449929800681665E+005                  2.6103352222154805E+004                  4.7937789118770215E+003                  3.6806780005850066E+000                  6.2318690047202813E+002                  2.3855594550069239E+036                  2.7946183157933495E+000                  3.6191477854473021E+001                  2.0198249964568351E+000                  6.0120500797025533E+000                 -3.0060015440986354E+000                  1.1156146943328604E+001                  1.1156146943328604E+001                 -3.0060015440986354E+000                  6.0120500797025533E+000                  1.0281348483752074E+006                  9.8627597900111520E-004                  1.4326725613468530E+011                  5.9941488153747824E-001                  8.7250443417191237E-001                  1.2379191874988187E+000                  7.4500000000000011E-001                  2.4997339496852572E-001                  8.6172084019653860E-004                  2.3451319112873857E-003                  3.7249999999999996E+000                  1.2498669748426294E+000                 -9.8370753294672737E+047                 -2.3100946676453064E+048                  1.3263871346985790E+048                                        0                                        2                 -2.2850638257251204E+048                 -1.1212153410488374E+048                 -9.6275725864172269E+047                 -1.0742920752860902E+048                 -4.5443485991158016E+043                  3.7570934787771990E+045                  4.0349396943807257E+045                  3.8391271700106726E+045                  1.4652420409244452E+011                  4.5478177791083574E+009                  9.9248306808627899E+033                  1.7217895439238331E+031                 -9.9999999999999997E+098 
