                                       1                                        2                                        3                                        4                                        5                                        6                                        7                                        8 
                          version_number                                 compiler                                    build                         MESA_SDK_version                             math_backend                                     date                                burn_min1                                burn_min2 
                                 "15140"                               "gfortran"                                 "10.2.0"                                       ""                                 "CRMATH"                               "20230324"                  5.0000000000000000E+001                  1.0000000000000000E+003 

                                       1                                        2                                        3                                        4                                        5                                        6                                        7                                        8                                        9                                       10                                       11                                       12                                       13                                       14                                       15                                       16                                       17                                       18                                       19                                       20                                       21                                       22                                       23                                       24                                       25                                       26                                       27                                       28                                       29                                       30                                       31                                       32                                       33                                       34                                       35                                       36                                       37                                       38                                       39                                       40                                       41                                       42                                       43                                       44                                       45                                       46                                       47                                       48                                       49                                       50                                       51                                       52                                       53                                       54                                       55                                       56                                       57                                       58                                       59 
                            model_number                                num_zones                                 star_age                                   log_dt                                star_mass                               log_xmstar                             log_abs_mdot                           mass_conv_core                                  log_LHe                                       pp                                      cno                             he_core_mass                              c_core_mass                              o_core_mass                        dynamic_timescale                             kh_timescale                              effective_T                                 log_Teff                               luminosity                        luminosity_ergs_s                                    log_L                                   radius                                    log_g                             log_center_T                           log_center_Rho                             log_center_P                               log_cntr_P                             log_cntr_Rho                               log_cntr_T                                 center_T                               center_Rho                                 center_P                                center_mu                                center_ye                              center_abar                                center_h1                               center_he4                               center_c12                               center_o16                            total_mass_h1                           total_mass_he4                             total_energy               total_gravitational_energy                    total_internal_energy                              num_retries                                num_iters                               Egrav_conv                               Ebind_conv                                Etot_conv                                 Ehe_conv                              Egrav_inter                              Ebind_inter                               Etot_inter                                Ehe_inter                              R_conv_base                                   R_core                               M_conv_env                                  M_inter                              mom_inertia 
                                       1                                      434                  1.0000000000000001E-005                 -4.9999999999999991E+000                  2.3000000000000004E+001                  3.4660233746378260E+001                 -9.8999999999999986E+001                  0.0000000000000000E+000                 -9.8999999999999986E+001                 -2.0759607924161227E+001                 -9.8999999999999986E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  1.7438540778870475E+007                  5.0402846916043472E+002                  4.4520851006287212E+003                  3.6485634571856331E+000                  6.0021039248027198E+004                  2.2976053824144813E+038                  4.7783035108451832E+000                  4.1179209170284042E+002                  5.7043945948907993E-001                  5.5267489403528787E+000                 -5.4761516114087865E+000                  8.2785054999806000E+000                  8.2785054999806000E+000                 -5.4761516114087865E+000                  5.5267489403528787E+000                  3.3631709289828612E+005                  3.3407839351101284E-006                  1.8989148901364151E+008                  5.9239254145371245E-001                  8.8000275684050921E-001                  1.2195126570323616E+000                  7.5999700000000003E-001                  2.3997645895694450E-001                  1.7234416802512943E-007                  4.6902638221889144E-007                  1.7479931000000004E+001                  5.5194585560097229E+000                 -1.1426605523683490E+048                 -4.2736309448871155E+048                  3.1309703925187665E+048                                        0                                        4                 -4.2254681184170618E+048                 -1.8395531606628073E+048                 -1.1113070188143558E+048                 -1.6351886508384814E+048                 -2.8037446653298431E+044                  1.4179077082636411E+046                  1.6529072556380032E+046                  1.4848108898226035E+046                  2.0640249481583896E+012                  5.0352555828080292E+010                  4.5587146004345312E+034                  1.4627744872185486E+032                 -9.9999999999999997E+098 
                                       2                                      418                  2.1999999999999999E-005                 -4.9208187539523749E+000                  2.3000000000000004E+001                  3.4660233746378260E+001                 -9.8999999999999986E+001                  0.0000000000000000E+000                 -9.8999999999999986E+001                 -2.0759607565431203E+001                 -9.8999999999999986E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  1.7438542984796576E+007                  5.0402585985693855E+002                  4.4520905810554959E+003                  3.6485639917930333E+000                  6.0021344910690081E+004                  2.2976170831812165E+038                  4.7783057225241450E+000                  4.1179212642986323E+002                  5.7043938623971913E-001                  5.5267489592069072E+000                 -5.4761515529925564E+000                  8.2785055769354887E+000                  8.2785055769354887E+000                 -5.4761515529925564E+000                  5.5267489592069072E+000                  3.3631710749882198E+005                  3.3407843844734613E-006                  1.8989152266150096E+008                  5.9239254145368936E-001                  8.8000275684050921E-001                  1.2195126570323616E+000                  7.5999700000000003E-001                  2.3997645895694450E-001                  1.7234416802512943E-007                  4.6902638221889144E-007                  1.7479931000000004E+001                  5.5194585560097229E+000                 -1.1426606394308278E+048                 -4.2736311293389752E+048                  3.1309704899081474E+048                                        0                                        3                 -4.2254675729462242E+048                 -1.8395525178823411E+048                 -1.1113063765671561E+048                 -1.6351880078359335E+048                 -2.8037447908946927E+044                  1.4179077683335825E+046                  1.6529073156905376E+046                  1.4848109498925437E+046                  2.0640248558247129E+012                  5.0352553570467438E+010                  4.5587146004345330E+034                  1.4627744872185671E+032                 -9.9999999999999997E+098 
                                       3                                      434                  3.6400000000000004E-005                 -4.8416375079047498E+000                  2.3000000000000004E+001                  3.4660233746378260E+001                 -9.8999999999999986E+001                  0.0000000000000000E+000                 -9.8999999999999986E+001                 -2.0759607112940593E+001                 -9.8999999999999986E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  1.7438542505242839E+007                  5.0402510571447380E+002                  4.4520923076189083E+003                  3.6485641602165644E+000                  6.0021435817398902E+004                  2.2976205630900301E+038                  4.7783063802943468E+000                  4.1179211888043841E+002                  5.7043940216364464E-001                  5.5267489829980416E+000                 -5.4761514803560774E+000                  8.2785056731482811E+000                  8.2785056731482811E+000                 -5.4761514803560774E+000                  5.5267489829980416E+000                  3.3631712592264795E+005                  3.3407849432252883E-006                  1.8989156472972047E+008                  5.9239254145365861E-001                  8.8000275684050921E-001                  1.2195126570323616E+000                  7.5999700000000003E-001                  2.3997645895694450E-001                  1.7234416802512943E-007                  4.6902638221889144E-007                  1.7479931000000004E+001                  5.5194585560097229E+000                 -1.1426607438293045E+048                 -4.2736313638705856E+048                  3.1309706200412810E+048                                        0                                        3                 -4.2254678052603454E+048                 -1.8395526211220844E+048                 -1.1113064795319505E+048                 -1.6351881106855289E+048                 -2.8037449470456676E+044                  1.4179078451936094E+046                  1.6529073925291605E+046                  1.4848110267525703E+046                  2.0640247409949175E+012                  5.0352550763284378E+010                  4.5587146004345312E+034                  1.4627744872185486E+032                 -9.9999999999999997E+098 
                                       4                                      418                  5.3680000000000008E-005                 -4.7624562618571247E+000                  2.3000000000000004E+001                  3.4660233746378260E+001                 -9.8999999999999986E+001                  0.0000000000000000E+000                 -9.8999999999999986E+001                 -2.0759606589048008E+001                 -9.8999999999999986E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  1.7438543542595543E+007                  5.0402213174504249E+002                  4.4520987425487638E+003                  3.6485647879332235E+000                  6.0021787592001936E+004                  2.2976340290218343E+038                  4.7783089256070204E+000                  4.1179213521107170E+002                  5.7043936771760517E-001                  5.5267490105353509E+000                 -5.4761513953937717E+000                  8.2785057852481305E+000                  8.2785057852481305E+000                 -5.4761513953937717E+000                  5.5267490105353509E+000                  3.3631714724750764E+005                  3.3407855967929242E-006                  1.8989161374443159E+008                  5.9239254145362452E-001                  8.8000275684050921E-001                  1.2195126570323616E+000                  7.5999700000000003E-001                  2.3997645895694450E-001                  1.7234416802512943E-007                  4.6902638221889144E-007                  1.7479931000000004E+001                  5.5194585560097229E+000                 -1.1426608691479062E+048                 -4.2736316345745792E+048                  3.1309707654266731E+048                                        0                                        2                 -4.2254680723109994E+048                 -1.8395527436258358E+048                 -1.1113066020961666E+048                 -1.6351882329607615E+048                 -2.8037451296747276E+044                  1.4179079332826096E+046                  1.6529074805929235E+046                  1.4848111148415697E+046                  2.0640246066944104E+012                  5.0352547479745499E+010                  4.5587146004345330E+034                  1.4627744872185671E+032                 -9.9999999999999997E+098 
                                       5                                      434                  7.4416000000000014E-005                 -4.6832750158095005E+000                  2.3000000000000004E+001                  3.4660233746378260E+001                 -9.8999999999999986E+001                  0.0000000000000000E+000                 -9.8999999999999986E+001                 -2.0759605936974559E+001                 -9.8999999999999986E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  1.7438542720748950E+007                  5.0402110685528328E+002                  4.4521011107103559E+003                  3.6485650189432026E+000                  6.0021911527696720E+004                  2.2976387732802305E+038                  4.7783098223569329E+000                  4.1179212227306590E+002                  5.7043939500760965E-001                  5.5267490448198142E+000                 -5.4761512907423624E+000                  8.2785059238782015E+000                  8.2785059238782015E+000                 -5.4761512907423624E+000                  5.5267490448198142E+000                  3.3631717379735789E+005                  3.3407864018180360E-006                  1.8989167435927555E+008                  5.9239254145358056E-001                  8.8000275684050921E-001                  1.2195126570323616E+000                  7.5999700000000003E-001                  2.3997645895694450E-001                  1.7234416802512943E-007                  4.6902638221889144E-007                  1.7479931000000004E+001                  5.5194585560097229E+000                 -1.1426610194798255E+048                 -4.2736319725699640E+048                  3.1309709530901385E+048                                        0                                        2                 -4.2254684069087904E+048                 -1.8395528920908505E+048                 -1.1113067501604896E+048                 -1.6351883808224573E+048                 -2.8037453546461628E+044                  1.4179080440665539E+046                  1.6529075913460464E+046                  1.4848112256255135E+046                  2.0640244412504109E+012                  5.0352543435281670E+010                  4.5587146004345312E+034                  1.4627744872185486E+032                 -9.9999999999999997E+098 
                                       6                                      418                  9.9299200000000013E-005                 -4.6040937697618753E+000                  2.3000000000000004E+001                  3.4660233746378260E+001                 -9.8999999999999986E+001                  0.0000000000000000E+000                 -9.8999999999999986E+001                 -2.0759605159671025E+001                 -9.8999999999999986E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  1.7438541985159207E+007                  5.0401932482953481E+002                  4.4521051398494737E+003                  3.6485654119783226E+000                  6.0022125430851855E+004                  2.2976469614930090E+038                  4.7783113700716262E+000                  4.1179211069296741E+002                  5.7043941943339482E-001                  5.5267490856859665E+000                 -5.4761511657593083E+000                  8.2785060893218283E+000                  8.2785060893218283E+000                 -5.4761511657593083E+000                  5.5267490856859665E+000                  3.3631720544406306E+005                  3.3407873632434375E-006                  1.8989174669814801E+008                  5.9239254145352827E-001                  8.8000275684050921E-001                  1.2195126570323616E+000                  7.5999700000000003E-001                  2.3997645895694450E-001                  1.7234416802512943E-007                  4.6902638221889144E-007                  1.7479931000000004E+001                  5.5194585560097229E+000                 -1.1426611998849434E+048                 -4.2736323752493948E+048                  3.1309711753644513E+048                                        0                                        2                 -4.2254688044758156E+048                 -1.8395530691127408E+048                 -1.1113069267977910E+048                 -1.6351885571884453E+048                 -2.8037456233157979E+044                  1.4179081758823963E+046                  1.6529077231250364E+046                  1.4848113574413542E+046                  2.0640242436666074E+012                  5.0352538605061249E+010                  4.5587146004345330E+034                  1.4627744872185671E+032                 -9.9999999999999997E+098 
                                       7                                      434                  1.2915904000000000E-004                 -4.5249125237142502E+000                  2.3000000000000004E+001                  3.4660233746378260E+001                 -9.8999999999999986E+001                  0.0000000000000000E+000                 -9.8999999999999986E+001                 -2.0759604215861323E+001                 -9.8999999999999986E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  1.7438540230084158E+007                  5.0401837649340121E+002                  4.4521074581011244E+003                  3.6485656381193516E+000                  6.0022242392754990E+004                  2.2976514387946611E+038                  4.7783122163572127E+000                  4.1179208306351416E+002                  5.7043947771192505E-001                  5.5267491353101477E+000                 -5.4761510145075567E+000                  8.2785062897931105E+000                  8.2785062897931105E+000                 -5.4761510145075567E+000                  5.5267491353101477E+000                  3.3631724387298065E+005                  3.3407885267397540E-006                  1.8989183435261393E+008                  5.9239254145346421E-001                  8.8000275684050921E-001                  1.2195126570323616E+000                  7.5999700000000003E-001                  2.3997645895694450E-001                  1.7234416802512943E-007                  4.6902638221889144E-007                  1.7479931000000004E+001                  5.5194585560097229E+000                 -1.1426614163502236E+048                 -4.2736328646766434E+048                  3.1309714483264198E+048                                        0                                        2                 -4.2254692887887641E+048                 -1.8395532827925212E+048                 -1.1113071397867209E+048                 -1.6351887699274866E+048                 -2.8037459484617229E+044                  1.4179083364576310E+046                  1.6529078836557606E+046                  1.4848115180165871E+046                  2.0640240045443901E+012                  5.0352532759635025E+010                  4.5587146004345312E+034                  1.4627744872185486E+032                 -9.9999999999999997E+098 
                                       8                                      418                  1.6499084799999998E-004                 -4.4457312776666260E+000                  2.3000000000000004E+001                  3.4660233746378260E+001                 -9.8999999999999986E+001                  0.0000000000000000E+000                 -9.8999999999999986E+001                 -2.0759603077480001E+001                 -9.8999999999999986E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  1.7438537308267944E+007                  5.0401788862676244E+002                  4.4521089084346686E+003                  3.6485657795965638E+000                  6.0022307196051239E+004                  2.2976539194648415E+038                  4.7783126852450399E+000                  4.1179203706651350E+002                  5.7043957473294860E-001                  5.5267491951661363E+000                 -5.4761508323377210E+000                  8.2785065313764257E+000                  8.2785065313764257E+000                 -5.4761508323377210E+000                  5.5267491951661363E+000                  3.3631729022540594E+005                  3.3407899280723698E-006                  1.8989193998304045E+008                  5.9239254145338671E-001                  8.8000275684050921E-001                  1.2195126570323616E+000                  7.5999700000000003E-001                  2.3997645895694450E-001                  1.7234416802512943E-007                  4.6902638221889144E-007                  1.7479931000000004E+001                  5.5194585560097229E+000                 -1.1426616760889119E+048                 -4.2736334552501230E+048                  3.1309717791612111E+048                                        0                                        2                 -4.2254698721561742E+048                 -1.8395535382590217E+048                 -1.1113073942973392E+048                 -1.6351890241853054E+048                 -2.8037463400703919E+044                  1.4179085304082018E+046                  1.6529080775527995E+046                  1.4848117119671563E+046                  2.0640237165344402E+012                  5.0352525719318138E+010                  4.5587146004345330E+034                  1.4627744872185671E+032                 -9.9999999999999997E+098 
                                       9                                      434                  2.0798901759999997E-004                 -4.3665500316190009E+000                  2.3000000000000004E+001                  3.4660233746378260E+001                 -9.8999999999999986E+001                  0.0000000000000000E+000                 -9.8999999999999986E+001                 -2.0759601712515401E+001                 -9.8999999999999986E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  1.7438534115285173E+007                  5.0401716271259568E+002                  4.4521109190679426E+003                  3.6485659757298476E+000                  6.0022400970293667E+004                  2.2976575091428418E+038                  4.7783133637528499E+000                  4.1179198680064178E+002                  5.7043968075827245E-001                  5.5267492669346625E+000                 -5.4761506138615186E+000                  8.2785068210819013E+000                  8.2785068210819013E+000                 -5.4761506138615186E+000                  5.5267492669346625E+000                  3.3631734580289852E+005                  3.3407916086907307E-006                  1.8989206665458602E+008                  5.9239254145329379E-001                  8.8000275684050921E-001                  1.2195126570323616E+000                  7.5999700000000003E-001                  2.3997645895694450E-001                  1.7234416802512943E-007                  4.6902638221889144E-007                  1.7479931000000004E+001                  5.5194585560097229E+000                 -1.1426619877835509E+048                 -4.2736341633333305E+048                  3.1309721755497797E+048                                        0                                        2                 -4.2254705726474786E+048                 -1.8395538458686487E+048                 -1.1113077007717129E+048                 -1.6351893303614454E+048                 -2.8037468097218607E+044                  1.4179087629115422E+046                  1.6529083099919344E+046                  1.4848119444704945E+046                  2.0640233711226326E+012                  5.0352517275871040E+010                  4.5587146004345312E+034                  1.4627744872185486E+032                 -9.9999999999999997E+098 
