                                       1                                        2                                        3                                        4                                        5                                        6                                        7                                        8 
                          version_number                                 compiler                                    build                         MESA_SDK_version                             math_backend                                     date                                burn_min1                                burn_min2 
                                 "15140"                               "gfortran"                                 "10.2.0"                                       ""                                 "CRMATH"                               "20230324"                  5.0000000000000000E+001                  1.0000000000000000E+003 

                                       1                                        2                                        3                                        4                                        5                                        6                                        7                                        8                                        9                                       10                                       11                                       12                                       13                                       14                                       15                                       16                                       17                                       18                                       19                                       20                                       21                                       22                                       23                                       24                                       25                                       26                                       27                                       28                                       29                                       30                                       31                                       32                                       33                                       34                                       35                                       36                                       37                                       38                                       39                                       40                                       41                                       42                                       43                                       44                                       45                                       46                                       47                                       48                                       49                                       50                                       51                                       52                                       53                                       54                                       55                                       56                                       57                                       58                                       59 
                            model_number                                num_zones                                 star_age                                   log_dt                                star_mass                               log_xmstar                             log_abs_mdot                           mass_conv_core                                  log_LHe                                       pp                                      cno                             he_core_mass                              c_core_mass                              o_core_mass                        dynamic_timescale                             kh_timescale                              effective_T                                 log_Teff                               luminosity                        luminosity_ergs_s                                    log_L                                   radius                                    log_g                             log_center_T                           log_center_Rho                             log_center_P                               log_cntr_P                             log_cntr_Rho                               log_cntr_T                                 center_T                               center_Rho                                 center_P                                center_mu                                center_ye                              center_abar                                center_h1                               center_he4                               center_c12                               center_o16                            total_mass_h1                           total_mass_he4                             total_energy               total_gravitational_energy                    total_internal_energy                              num_retries                                num_iters                               Egrav_conv                               Ebind_conv                                Etot_conv                                 Ehe_conv                              Egrav_inter                              Ebind_inter                               Etot_inter                                Ehe_inter                              R_conv_base                                   R_core                               M_conv_env                                  M_inter                              mom_inertia 
                                       1                                      418                  1.0000000000000001E-005                 -4.9999999999999991E+000                  2.3000000000000004E+001                  3.4660233746378260E+001                 -9.8999999999999986E+001                  0.0000000000000000E+000                 -9.8999999999999986E+001                 -2.0670313769204164E+001                 -9.8999999999999986E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  1.7175008949667033E+007                  5.1823370847656395E+002                  4.4550480666367084E+003                  3.6488523941108220E+000                  5.8971435495131562E+004                  2.2574265507536362E+038                  4.7706416995944343E+000                  4.0763289421645192E+002                  5.7925701844058552E-001                  5.5314400829446058E+000                 -5.4619428392371123E+000                  8.2973746430161750E+000                  8.2973746430161750E+000                 -5.4619428392371123E+000                  5.5314400829446058E+000                  3.3996959896235383E+005                  3.4518916928867781E-006                  1.9832371224891692E+008                  5.9240525729446458E-001                  8.7998925715976961E-001                  1.2195453035566042E+000                  7.5997000000000003E-001                  2.3999445704138223E-001                  1.7234416803852326E-006                  4.6902638225534209E-006                  1.7479309999999991E+001                  5.5198725119517933E+000                 -1.1630236838966392E+048                 -4.3202705730233619E+048                  3.1572468891267227E+048                                        0                                        2                 -4.2711438475589179E+048                 -1.8708546744208534E+048                 -1.1444028959716218E+048                 -1.6669198295675391E+048                 -7.3321016408255255E+044                  2.5531483088534667E+046                  2.9772876241833273E+046                  2.6739078530488008E+046                  2.4378517528513345E+012                  4.9806411971085449E+010                  4.5469413985562471E+034                  2.6400946750490182E+032                 -9.9999999999999997E+098 
                                       2                                      435                  2.1999999999999999E-005                 -4.9208187539523749E+000                  2.3000000000000004E+001                  3.4660233746378260E+001                 -9.8999999999999986E+001                  0.0000000000000000E+000                 -9.8999999999999986E+001                 -2.0670313403554278E+001                 -9.8999999999999986E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  1.7175011763154086E+007                  5.1823276108531081E+002                  4.4550497378278569E+003                  3.6488525570246555E+000                  5.8971536861747620E+004                  2.2574304310676991E+038                  4.7706424461071109E+000                  4.0763293873345299E+002                  5.7925692358324132E-001                  5.5314401021878474E+000                 -5.4619427803231790E+000                  8.2973747209719946E+000                  8.2973747209719946E+000                 -5.4619427803231790E+000                  5.5314401021878474E+000                  3.3996961402613571E+005                  3.4518921611509093E-006                  1.9832374784800792E+008                  5.9240525729443039E-001                  8.7998925715976961E-001                  1.2195453035566042E+000                  7.5997000000000003E-001                  2.3999445704138223E-001                  1.7234416803852326E-006                  4.6902638225534209E-006                  1.7479309999999991E+001                  5.5198725119517933E+000                 -1.1630237694514937E+048                 -4.3202707654058665E+048                  3.1572469959543727E+048                                        0                                        3                 -4.2711441129805634E+048                 -1.8708548345561800E+048                 -1.1444030557159327E+048                 -1.6669199894039526E+048                 -7.3321019718376304E+044                  2.5531484206158089E+046                  2.9772877359143169E+046                  2.6739079648111409E+046                  2.4378516428090254E+012                  4.9806409718933418E+010                  4.5469413985562471E+034                  2.6400946750490182E+032                 -9.9999999999999997E+098 
                                       3                                      419                  3.6400000000000004E-005                 -4.8416375079047498E+000                  2.3000000000000004E+001                  3.4660233746378260E+001                 -9.8999999999999986E+001                  0.0000000000000000E+000                 -9.8999999999999986E+001                 -2.0670313006670302E+001                 -9.8999999999999986E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  1.7175015131718084E+007                  5.1822707944288663E+002                  4.4550615117513698E+003                  3.6488537047881051E+000                  5.8972175692126795E+004                  2.2574548854946139E+038                  4.7706471507327759E+000                  4.0763299203327466E+002                  5.7925681001137441E-001                  5.5314401230532031E+000                 -5.4619427144695143E+000                  8.2973748071370697E+000                  8.2973748071370697E+000                 -5.4619427144695143E+000                  5.5314401230532031E+000                  3.3996963035972347E+005                  3.4518926845740169E-006                  1.9832378719592294E+008                  5.9240525729439597E-001                  8.7998925715976961E-001                  1.2195453035566042E+000                  7.5997000000000003E-001                  2.3999445704138223E-001                  1.7234416803852326E-006                  4.6902638225534209E-006                  1.7479309999999991E+001                  5.5198725119517933E+000                 -1.1630238721183525E+048                 -4.3202709722204289E+048                  3.1572471001020764E+048                                        0                                        3                 -4.2711443166265143E+048                 -1.8708549347553159E+048                 -1.1444031564272214E+048                 -1.6669200898180908E+048                 -7.3321023417046793E+044                  2.5531485382241966E+046                  2.9772878534867926E+046                  2.6739080824195271E+046                  2.4378515198537847E+012                  4.9806407201490562E+010                  4.5469413985562471E+034                  2.6400946750490182E+032                 -9.9999999999999997E+098 
                                       4                                      435                  5.3680000000000008E-005                 -4.7624562618571247E+000                  2.3000000000000004E+001                  3.4660233746378260E+001                 -9.8999999999999986E+001                  0.0000000000000000E+000                 -9.8999999999999986E+001                 -2.0670312478292239E+001                 -9.8999999999999986E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  1.7175014404701520E+007                  5.1822638092659486E+002                  4.4550631072838851E+003                  3.6488538603259895E+000                  5.8972256844796175E+004                  2.2574579920187976E+038                  4.7706477483727960E+000                  4.0763298052990052E+002                  5.7925683452289378E-001                  5.5314401508613802E+000                 -5.4619426294204914E+000                  8.2973749197180471E+000                  8.2973749197180471E+000                 -5.4619426294204914E+000                  5.5314401508613802E+000                  3.3996965212821600E+005                  3.4518933605672452E-006                  1.9832383860686511E+008                  5.9240525729434668E-001                  8.7998925715976961E-001                  1.2195453035566042E+000                  7.5997000000000003E-001                  2.3999445704138223E-001                  1.7234416803852326E-006                  4.6902638225534209E-006                  1.7479309999999991E+001                  5.5198725119517933E+000                 -1.1630239952028866E+048                 -4.3202712500905665E+048                  3.1572472548876799E+048                                        0                                        2                 -4.2711445919192030E+048                 -1.8708550573421093E+048                 -1.1444032785980760E+048                 -1.6669202119413270E+048                 -7.3321028195646702E+044                  2.5531486998877988E+046                  2.9772880151051894E+046                  2.6739082440831288E+046                  2.4378513609929351E+012                  4.9806403950250938E+010                  4.5469413985562471E+034                  2.6400946750490182E+032                 -9.9999999999999997E+098 
                                       5                                      419                  7.4416000000000014E-005                 -4.6832750158095005E+000                  2.3000000000000004E+001                  3.4660233746378260E+001                 -9.8999999999999986E+001                  0.0000000000000000E+000                 -9.8999999999999986E+001                 -2.0670311870081783E+001                 -9.8999999999999986E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  1.7175015700405631E+007                  5.1822252813614330E+002                  4.4550712196442964E+003                  3.6488546511453492E+000                  5.8972692315462671E+004                  2.2574746618359113E+038                  4.7706509553351770E+000                  4.0763300103145428E+002                  5.7925679083795234E-001                  5.5314401828577644E+000                 -5.4619425303490727E+000                  8.2973750502617296E+000                  8.2973750502617296E+000                 -5.4619425303490727E+000                  5.5314401828577644E+000                  3.3996967717527581E+005                  3.4518941480145337E-006                  1.9832389822062787E+008                  5.9240525729429172E-001                  8.7998925715976961E-001                  1.2195453035566042E+000                  7.5997000000000003E-001                  2.3999445704138223E-001                  1.7234416803852326E-006                  4.6902638225534209E-006                  1.7479309999999991E+001                  5.5198725119517933E+000                 -1.1630241429582214E+048                 -4.3202715688031055E+048                  3.1572474258448841E+048                                        0                                        2                 -4.2711449062343825E+048                 -1.8708552025714997E+048                 -1.1444034238493433E+048                 -1.6669203569720106E+048                 -7.3321033761275663E+044                  2.5531488837022354E+046                  2.9772881988664277E+046                  2.6739084278975654E+046                  2.4378511759704409E+012                  4.9806400162965973E+010                  4.5469413985562471E+034                  2.6400946750490182E+032                 -9.9999999999999997E+098 
                                       6                                      435                  9.9299200000000013E-005                 -4.6040937697618753E+000                  2.3000000000000004E+001                  3.4660233746378260E+001                 -9.8999999999999986E+001                  0.0000000000000000E+000                 -9.8999999999999986E+001                 -2.0670311107894165E+001                 -9.8999999999999986E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  1.7175014399820209E+007                  5.1822168793999174E+002                  4.4550731940832611E+003                  3.6488548436198833E+000                  5.8972790905427479E+004                  2.2574784358597639E+038                  4.7706516813837974E+000                  4.0763298045266492E+002                  5.7925683468746825E-001                  5.5314402229718587E+000                 -5.4619424077255250E+000                  8.2973752126114775E+000                  8.2973752126114775E+000                 -5.4619424077255250E+000                  5.5314402229718587E+000                  3.3996970857695607E+005                  3.4518951226609612E-006                  1.9832397235889673E+008                  5.9240525729422044E-001                  8.7998925715976961E-001                  1.2195453035566042E+000                  7.5997000000000003E-001                  2.3999445704138223E-001                  1.7234416803852326E-006                  4.6902638225534209E-006                  1.7479309999999991E+001                  5.5198725119517933E+000                 -1.1630243201956034E+048                 -4.3202719696872387E+048                  3.1572476494916353E+048                                        0                                        2                 -4.2711453031265902E+048                 -1.8708553788424194E+048                 -1.1444035994962244E+048                 -1.6669205325573919E+048                 -7.3321040651097511E+044                  2.5531491170192006E+046                  2.9772884321182155E+046                  2.6739086612145276E+046                  2.4378509469235859E+012                  4.9806395475334824E+010                  4.5469413985562471E+034                  2.6400946750490182E+032                 -9.9999999999999997E+098 
                                       7                                      419                  1.2915904000000000E-004                 -4.5249125237142502E+000                  2.3000000000000004E+001                  3.4660233746378260E+001                 -9.8999999999999986E+001                  0.0000000000000000E+000                 -9.8999999999999986E+001                 -2.0670310202331212E+001                 -9.8999999999999986E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  1.7175013351319805E+007                  5.1821964120992527E+002                  4.4550777289378620E+003                  3.6488552856914813E+000                  5.8973026221046333E+004                  2.2574874437416537E+038                  4.7706534143197716E+000                  4.0763296386254399E+002                  5.7925687003788628E-001                  5.5314402706271650E+000                 -5.4619422616248379E+000                  8.2973754058344422E+000                  8.2973754058344422E+000                 -5.4619422616248379E+000                  5.5314402706271650E+000                  3.3996974588196928E+005                  3.4518962839106575E-006                  1.9832406059569436E+008                  5.9240525729413629E-001                  8.7998925715976961E-001                  1.2195453035566042E+000                  7.5997000000000003E-001                  2.3999445704138223E-001                  1.7234416803852326E-006                  4.6902638225534209E-006                  1.7479309999999991E+001                  5.5198725119517933E+000                 -1.1630245328938469E+048                 -4.3202724455771861E+048                  3.1572479126833392E+048                                        0                                        2                 -4.2711457728712635E+048                 -1.8708555888086197E+048                 -1.1444038088944755E+048                 -1.6669207418267438E+048                 -7.3321048859731149E+044                  2.5531493934292209E+046                  2.9772887084503680E+046                  2.6739089376245453E+046                  2.4378506740347744E+012                  4.9806389890223938E+010                  4.5469413985562471E+034                  2.6400946750490182E+032                 -9.9999999999999997E+098 
                                       8                                      435                  1.6499084799999998E-004                 -4.4457312776666260E+000                  2.3000000000000004E+001                  3.4660233746378260E+001                 -9.8999999999999986E+001                  0.0000000000000000E+000                 -9.8999999999999986E+001                 -2.0670309100752789E+001                 -9.8999999999999986E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  1.7175010955178604E+007                  5.1821891455343030E+002                  4.4550796014571206E+003                  3.6488554682302965E+000                  5.8973114399173086E+004                  2.2574908192003460E+038                  4.7706540636886059E+000                  4.0763292594908825E+002                  5.7925695082431339E-001                  5.5314403286055347E+000                 -5.4619420845812749E+000                  8.2973756403278394E+000                  8.2973756403278394E+000                 -5.4619420845812749E+000                  5.5314403286055347E+000                  3.3996979126797762E+005                  3.4518976911036249E-006                  1.9832416767901528E+008                  5.9240525729403326E-001                  8.7998925715976961E-001                  1.2195453035566042E+000                  7.5997000000000003E-001                  2.3999445704138223E-001                  1.7234416803852326E-006                  4.6902638225534209E-006                  1.7479309999999991E+001                  5.5198725119517933E+000                 -1.1630247881045570E+048                 -4.3202730251434624E+048                  3.1572482370389054E+048                                        0                                        2                 -4.2711463464004783E+048                 -1.8708558424377406E+048                 -1.1444040615425171E+048                 -1.6669209944141164E+048                 -7.3321058807370934E+044                  2.5531497309928211E+046                  2.9772890459199557E+046                  2.6739092751881440E+046                  2.4378503433328579E+012                  4.9806383122235542E+010                  4.5469413985562471E+034                  2.6400946750490182E+032                 -9.9999999999999997E+098 
                                       9                                      419                  2.0798901759999997E-004                 -4.3665500316190009E+000                  2.3000000000000004E+001                  3.4660233746378260E+001                 -9.8999999999999986E+001                  0.0000000000000000E+000                 -9.8999999999999986E+001                 -2.0670307773818266E+001                 -9.8999999999999986E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  1.7175007210214656E+007                  5.1821866524147072E+002                  4.4550806229942627E+003                  3.6488555678127805E+000                  5.8973151343415171E+004                  2.2574922334259328E+038                  4.7706543357562348E+000                  4.0763286669359314E+002                  5.7925707708661855E-001                  5.5314403984474518E+000                 -5.4619418715463484E+000                  8.2973759226080084E+000                  8.2973759226080084E+000                 -5.4619418715463484E+000                  5.5314403984474518E+000                  3.3996984594088967E+005                  3.4518993843670285E-006                  1.9832429658463123E+008                  5.9240525729390869E-001                  8.7998925715976961E-001                  1.2195453035566042E+000                  7.5997000000000003E-001                  2.3999445704138223E-001                  1.7234416803852326E-006                  4.6902638225534209E-006                  1.7479309999999991E+001                  5.5198725119517933E+000                 -1.1630250943365161E+048                 -4.3202737234861514E+048                  3.1572486291496353E+048                                        0                                        2                 -4.2711470361013512E+048                 -1.8708561454971811E+048                 -1.1444043633216649E+048                 -1.6669212961546754E+048                 -7.3321070777441243E+044                  2.5531501380550784E+046                  2.9772894528691887E+046                  2.6739096822503967E+046                  2.4378499453963813E+012                  4.9806374978377068E+010                  4.5469413985562471E+034                  2.6400946750490182E+032                 -9.9999999999999997E+098 
